s1	Scaffolds_1040	1	4328674	0.047942	4328674	0.047942	-
s1	Scaffolds_23	2	3614561	0.040033	7943235	0.087975	-
s1	Scaffolds_22	3	2416165	0.026760	10359400	0.114736	-
s1	Scaffolds_106	4	2148092	0.023791	12507492	0.138527	-
s1	Scaffolds_146	5	2027610	0.022457	14535102	0.160984	-
s1	Scaffolds_181	6	1992245	0.022065	16527347	0.183049	-
s1	Scaffolds_150	7	1967258	0.021788	18494605	0.204837	-
s1	Scaffolds_675	8	1926824	0.021341	20421429	0.226178	-
s1	Scaffolds_644	9	1777800	0.019690	22199229	0.245868	-
s1	Scaffolds_375	10	1631807	0.018073	23831036	0.263941	-
s1	Scaffolds_710	11	1587595	0.017583	25418631	0.281525	-
s1	Scaffolds_249	12	1577474	0.017471	26996105	0.298996	-
s1	Scaffolds_647	13	1577474	0.017471	28573579	0.316467	-
s1	Scaffolds_123	14	1519745	0.016832	30093324	0.333299	-
s1	Scaffolds_746	15	1482276	0.016417	31575600	0.349716	-
s1	Scaffolds_520	16	1367625	0.015147	32943225	0.364863	-
s1	Scaffolds_8	17	1273932	0.014109	34217157	0.378973	-
s1	Scaffolds_744	18	1224589	0.013563	35441746	0.392536	-
s1	Scaffolds_96	19	1197368	0.013261	36639114	0.405797	-
s1	Scaffolds_393	20	1197368	0.013261	37836482	0.419059	-
s1	Scaffolds_200	21	1150242	0.012740	38986724	0.431798	-
s1	Scaffolds_135	22	1077559	0.011935	40064283	0.443733	-
s1	Scaffolds_28	23	1044500	0.011568	41108783	0.455301	-
s1	Scaffolds_58	24	1043729	0.011560	42152512	0.466861	-
s1	Scaffolds_174	25	1043281	0.011555	43195793	0.478416	-
s1	Scaffolds_210	26	1030245	0.011410	44226038	0.489826	-
s1	Scaffolds_224	27	984923	0.010909	45210961	0.500735	-
s1	Scaffolds_137	28	969337	0.010736	46180298	0.511471	-
s1	Scaffolds_44	29	938770	0.010397	47119068	0.521868	-
s1	Scaffolds_396	30	916768	0.010154	48035836	0.532022	-
s1	Scaffolds_211	31	881861	0.009767	48917697	0.541789	-
s1	Scaffolds_193	32	876994	0.009713	49794691	0.551502	-
